API명,필드수
석탄 재활용 내역 조회서비스,6
온실가스 배출현황 조회서비스,12
폐기물 처리내역 및 현황 조회서비스,9
전기생산량 정보조회 서비스,17
열생산량 정보조회 서비스,17
발전용수 생산 및 사용량 조회서비스,10
소비탄 성상 및 미연분 현황 조회서비스,13
연료정보지 조회서비스,6
석탄 화력발전소 인허가 조회 서비스,5
"인천항 선박 입출항 신고,  선박 관제 정보",54
공공데이터포털목록조회서비스,0
"인천항 화물, 컨테이너 반출입 신고정보",152
인천항 컨테이너터미널 싱글윈도우정보,74
인천항 예도선 정보,29
인천항 갑문 통합 정보,112
"인천항 항만시설, TOC, 수역시설 사용 정보",129
입항정보,21
화물료신고정보,13
출항정보,21
항만시설이용정보,22
선박 관제정보,14
국가 및 항구 코드정보,16
"인천항 항만 시설 코드, 선사 코드 정보",34
인천항 항만 부지 입찰 내역 정보,68
김포공항 익일예상승객 조회,13
일별 예상승객정보 및 혼잡여부,10
연구주제별(5대분야 30대 분류) 발간물 정보,24
과학기술정책연구원 발간물 정보 조회,0
전라남도 도립도서관 도서 및 대출 현황,0
선박 제원 정보,33
선석 이용 정보,37
터미널 혼잡도 정보,15
경정 - 보트정보,18
경정 - 경주결과,24
경정 - 배당률,22
경정 - 모터정보,18
경정 - 선수정보,27
경정 - 출주표,52
한국원자력환경공단 개봉선원폐기물 현황,9
한국원자력환경공단 밀봉선원폐기물 현황,9
유물정보(국립청주박물관),0
공연 정보(예술의 전당),0
시나리오 정보(한국영상자료원),0
도서 정보(한국영상자료원),0
공연정보(국립김해박물관),0
전시정보(국립현대미술관),0
유물정보(국립춘천박물관),0
공연정보(국립민속국악원),0
유물정보(국립대구박물관),0
경륜 - 경주결과,26
경륜 - 선수정보,32
경륜-출주표,58
경륜 - 배당률,22
한국원자력환경공단 실시간 주변 기상정보,0
한국원자력환경공단 실시간 주변 방사선량,16
한국원자력환경공단 사일로(Silo) 처분현황,13
체육지도자 연도별자격취득현황 API 서비스,0
중부발전 발전소 건설현황,7
중부발전 REC 현물시장 거래현황,7
중부발전 신재생에너지 건설현황,7
중부발전 발전소 온배수 배출량,7
제주시 개별주택공시가격 정보,19
제주시 개별공시지가정보 조회,14
전주시 공사 일정 정보 서비스,54
한국남동발전 채용정보 다운로드서비스,11
부산광역시 무인민원발급기정보,39
지하수코드조회서비스,11
온라인 가격 정보,9
광양항 컨테이너 터미널 혼잡도 정보 조회,15
여수광양항만공사 자산운영정보 제공,0
부산 실시간 환경방사선 현황 정보 조회,4
부산 착한가격업소 조회,4
부산 상수도공사현황 조회,9
주요품목가격,0
실시간 교통정보,7
교통정보 일간 통계,7
제주 버스정보시스템,0
교통정보 1시간 통계,7
수원시 불법주정차 CCTV,11
경기도 수원시 CCTV 정보,18
영천시 동물약국현황,0
동물병원 현황,9
영천시 체육시설업현황,9
영천시 모범음식점지정현황,9
영천시 일반음식점현황,0
영천시 약국현황,3
영천시 노인복지시설현황,0
영천시 주유소현황,8
의료기관현황,3
영천시 방범용 CCTV 설치현황 조회,0
영천시 어린이 CCTV 운영현황,12
영천시 공원현황,9
부산광역시 주차장정보,45
재난안전 정보,0
보건 안전,0
맞춤안전 정보,0
시설안전 정보,0
치안안전 정보,0
사고안전 정보,0
산업안전 정보,0
교통안전 정보,0
전주전산화번호 조회 서비스,16
CCTV정보,0
공중화장실정보,0
건축인허가정보 서비스,570
무선인터넷존 위치정보 서비스,49
주택인허가정보 서비스,597
건축물대장정보 서비스,474
폐쇄말소대장정보 서비스,491
경상북도 공중화장실 정보조회,2
성남시 저소득 한부모 가족현황,12
성남시 금연구역지정(학교정화구역) 현황,12
성남시 금연구역지정(버스정류장) 현황,10
성남시 직업소개소 현황,10
성남시 벽보 지정게시대 위치 현황,9
성남시 현수막 지정게시대위치 현황,8
성남시 성남아트센터 강좌정보,0
성남시 시립예술단 연간공연계획,0
성남시 성남문화재단 미디어센터 교육정보,29
성남시 성남문화재단 미디어센터 도서정보,17
수산물이력 상세 정보제공 서비스,86
수산물이력 기본 정보제공 서비스,77
지구대현황 서비스,0
교통시설물정보조회,7
충남 주요 음식점,0
거제시 의료기관 정보,44
충남 시군별 관광명소,0
충청남도 15시군 주요축제,0
충남 주요 숙박업소,0
충남 주요 농어촌 체험관광,0
충남 주요 지역특산물,0
경상북도 어린이보호구역 정보 조회,1
경상북도 노인복지시설 현황 서비스,25
경상북도 무료급식소 정보조회,1
경상북도내 재래시장(5일장) 정보조회,0
경상북도 지방공공요금 정보 조회,27
경상북도 사회적기업 정보조회,3
경상북도 전통시장 정보조회,4
경상북도 농축산물요금 정보 조회,27
경상북도내 마을기업 조회,0
경상북도 밥상물가 정보 조회,27
경상북도내 사회적기업 조회,0
경상북도 개인서비스요금 정보 조회,27
경상북도내 협동조합 조회,0
경상북도 주차장 정보조회,8
경상북도개발공사 미분양 택지내역 정보조회,0
경상북도 대급지급 정보조회,5
경상북도개발공사 택지분양현황 정보조회,0
경상북도개발공사 공사비 지출내역 정보조회,1
경상북도개발공사 계약정보 조회,8
경상북도 계약 정보조회,0
경상북도내 시군 주민센터 현황 조회,3
경상북도내 주요 도로사업 추지 조회,3
거제시 공연전시 정보,85
"공영주차장(노상,노외) 현황",0
거주자우선 주차장 정보,0
수정도서관 강좌정보,0
중원도서관 강좌정보,0
수정도서관 상영정보,0
탄천종합운동장 체육프로그램 정보,0
경상북도내 주요바다 수온정보 조회,7
공주 주요통계,0
공주 관광정보,0
어린이보호구역,39
부산광역시 어린이보호구역정보,6
시화조력 수문정보 조회 서비스,8
보령 관광명소 정보,0
보령 숙박시설 안내,27
안전 기준 상세 정보,0
철강 ASTM 표준 검색,0
철강 JIS 표준 검색,0
철강 KS 표준검색 정보,0
강종정보 파일 다운로드,0
고령자 및 장애인 배려 설계 지침 상세,0
고령자 및 장애인 배려 KS 표준,0
[LED]국내 시험기관 정보,0
[LED]표준안 분석  정보-이력정보,0
[LED]표준안 분석 정보,0
[LED]관련된  해외표준화 기관 정보,0
[LED]KS  인증제품정보 및 생산자 정보,0
[LED]관련 산업분야 국내인증기관 정보,0
[LED]안전정보,0
[LED 산업기술통합정보]관련 산업분야 해외인,0
표준으로 시장을 지배하는 법,0
고령자 운동서비스,0
안동시 의무관리현황(병원) 조회,4
안동시 보육시설현황 조회,3
안동시 사회복지시설현황 조회,4
안동시 의약관리현황(약국) 서비스 조회,3
안동시 구인구직 현황,2
안동시 개별주택가격 서비스 조회,0
국민연금 가입 통계정보제공 서비스,0
장애인활동지원정보조회서비스,0
다목적댐 가뭄정보 조회 서비스,18
장애인활동지원기관정보조회서비스,0
우편번호 정보조회,12
집배구 구분코드 조회서비스,6
영문우편번호조회서비스,55
우편접수용 우편번호조회,12
김천시 공원 정보 제공,17
김천시 공중화장실 정보 제공,27
이송업체 구급차 정보조회 서비스,54
아이디어 DB,0
김천시 도서 정보 제공,22
김천시 전통시장 현황 정보 제공,24
김천시 기업체 현황 정보 제공,13
김천 혁신도시 인근생활시설 정보,14
김천시 농공단지 입주기업 정보 제공,13
김천시 산업단지 입주기업 현황,13
김천시 이미용 업소현황,14
김천시 다중이용시설 정보 제공,14
김천시 배수펌프장 및 배수문 현황 정보 제공,20
김천시 보건지소 정보 제공,12
김천시 공중보건의사배치 정보 제공,13
김천시 공중위생업현황 정보 제공,13
김천시 모범음식점 정보 제공,13
김천시 의료기기 판매 정보 제공,14
김천시 안경업소 현황 정보 제공,12
김천시 치과기공소 현황 정보 제공,13
김천시 사회적기업 등록 정보,23
김천시 직업소개소 정보 제공,12
김천시 체육시설 현황 정보 제공,14
김천시 체육시설 업체 현황 정보 제공,12
김천시 무단투기 CCTV 설치현황,12
김천시 유흥단란주점 정보 제공,13
김천시 안전상비의약품 판매 정보 제공,13
약국 운영 현황,13
김천시 다소비 일반의약품 판매 정보 제공,16
김천시 무료급식소 정보 제공,21
김천시 개방등산로 및 통제구역 정보 제공,0
김천시 종량제봉투 판매소 정보 제공,12
김천시 하수처리방류수질 정보 제공,0
김천시 관말 잔류염소 검사결과 정보 제공,20
김천시 건설업 정보 제공,16
김천시 옥외광고업 등록 업체 정보 제공,0
김천시 현수막일반게시대 정보 제공,11
김천시 벽보게시판 정보 제공,0
김천시 보호수지정현황,0
김천시 농업기술 동영상 교육 정보,14
평생학습강좌,34
김천시 평생교육일정 정보 제공,0
김천시 시민정보화교육일정 정보 제공,18
김천시 유아청소년 성인금연교육 정보 제공,13
김천시 하수처리시설 위치 현황,51
김천시 가로수 및 가로화단 정보 제공,35
지하수 방치공 현황 조회 서비스,10
국가지하수관측소 수질정보 조회 서비스,41
자전거종주인증센터 정보 조회 서비스,10
문화관정보 조회 서비스,10
김천시 지진재난이재민수용시설 정보 제공,14
예산군청 문화관광 정보 서비스,0
전국장애인편의시설정보조회,22
김천시 귀촌귀농 현황,26
김천시 작목 산지 유통 정보,0
김천시 작목별 지역정보,0
김천시 귀촌귀농 우수사례,14
김천시 귀농귀촌 교육정보,15
실시간조류정보 인천,0
해양기상신호 인천,0
NIPA 3D 프린팅정보활용 포털시스템,39
누리장터 민간입찰공고서비스,368
지방상수도 수돗물 단수정보 조회 서비스,0
한국남동발전 산업재산권 조회서비스,4
대전광역시 문화축제,2
공중이용시설 현황(업무시설),0
공중이용시설 현황(복합건축물),0
한국직업방송 프로그램 동영상,0
작물별 주산지 상세날씨 정보,125
관광코스별 관광지 상세 날씨 정보,45
문화누리카드 오프라인 사용처,14
예술가의집 기획프로그램 목록,17
아르코예술인력개발원 무대교육 프로그램,17
대전광역시 도시공원,2
대전광역시 어린이보호구역,2
성동구립 체육시설 강좌정보 OPEN-API,0
성동구도시관리공단 체육시설 대관정보,0
연구개발 과제정보조회 서비스,29
전력거래시장 운영정보조회 서비스,13
실시간 발전량 및 전력수급현황 서비스,11
전력거래정보 서비스,12
중소기업지원사업 공고조회 서비스,12
기상현황 급전속보 조회 서비스,13
발전실적 급전속보 조회 서비스,11
연료현황 급전속보 조회 서비스,12
발전원별 점유율 급전속보 조회 서비스,16
전력수급 급전속보 조회 서비스,26
발전소별 공급능력 조회 서비스,13
연료별 공급능력 조회 서비스,9
발전회사별 점유율 급전속보 조회 서비스,16
평생학습강좌정보,0
어린이집정보,0
사회적기업 현황,39
노선현황정보,8
전통시장 현황,47
민박펜션 업소 정보,43
무인민원발급기 현황,0
도서관 정보,0
무료급식소 정보,0
문화축제 정보,0
CCTV 정보,0
경기도 수원시 주차장목록,36
경기도 수원시 도시공원목록,22
경기도 수원시 어린이보호구역 정보,17
경기도 수원시 무인민원발급기 정보,16
경기도 수원시 전통시장 정보,21
경기도 수원시 공연행사목록,29
경기도 수원시 민박펜션업소 정보,19
경기도 수원시 관광안내소 정보,29
산악기상관측정보,0
경기도 수원시 도서관목록,26
경기도 수원시 교육강좌,22
경기도 수원시 평생학습강좌 정보,30
경기도 수원시 전기차충전소 정보,24
경기도 수원시 무료와이파이 정보,20
중국농산물 가격정보,0
경기도 수원시 무료급식소 정보,18
올림픽공원 지샘터 도서정보,0
경기도 수원시 사회적기업 정보,19
경기도 수원시 상수도수질검사 정보,72
사회적기업정보,0
무료와이파이정보,0
어린이보호구역정보,0
무인민원발급기 현황,17
불법광고물신고서비스,0
경상남도 의령군 도시공원정보 API,32
경상남도 의령군 어린이보호구역 API,27
경상남도 의령군 주차장정보 API,0
경상남도 의령군 공중화장실 API,36
경상남도 의령군 CCTV현황 API,27
경상남도 의령군 민박/펜션업소 API,41
경상남도 의령군 어린이집 API,25
경상남도 의령군 농어촌체험마을 API,31
익산시 사회적기업 정보,24
익산시 무인민원발급 정보,23
화장실 정보 서비스,0
보성숙박 정보 서비스,24
주차장 정보 서비스,44
API_부동산유휴토지목록,13
행사안내 정보,21
호수공원 수질정보,14
감염병관련 예방접종 정보 제공 API,11
선박정보 서비스,18
버스정보 서비스,19
문화유적 정보 서비스,90
도시공원 정보 서비스,22
어린이보호구역 정보 서비스,24
공중화장실 정보 서비스,29
주차장 정보 서비스,0
전통시장 정보 서비스,27
CCTV 정보 서비스,0
사회적기업 정보 서비스,0
무인민원발급 정보 서비스,0
무인민원발급 정보,24
제주지역 상세기상정보 조회서비스,0
국민연금 수급 통계정보제공 서비스,0
경상남도 각종 채용 정보,0
경상남도 시험정보,0
경상남도 시험장소,0
경상남도 합격자발표,0
공연 전시 축제 정보,0
경상남도 통계정보,0
시군별 전통시장 정보,0
제주시 문화예술의거리 정보,9
제주아트센터 공연 정보,24
지구자기장 지수,0
경기도 수원시 생활 밀접품목 가격동향,0
부산광역시 평생학습강좌정보,6
부산시 도시공원정보,6
부산광역시 공중화장실정보,34
부산광역시 사회적기업정보,6
문화축제,24
무료와이파이 설치 정보,23
농어촌체험마을정보,24
제주 생활방언 정보,0
제주 속담사전 조회,0
제주 방언사전 정보,0
공공시설개방정보,33
치매 상담센터 현황(2015),0
어린보호구역 정보 서비스,24
정신 보건 관련기관(시설) 현황(2015),0
공공자전거 운영 현황(2015),0
2015년 경기도 축산물 미생물 검사결과 현황,0
축산물 잔류검사(2015),0
치어생산보급현황(2015),0
수산물 안전성 검사결과 현황(2015),0
경기도 영상산업 지원정보(2015),0
경기 콘텐츠기업 현황(2014),0
시군별 시티투어 운영 현황(2015),0
시군별 문화관광 해설사 운영 현황(2015),0
어린이 놀이시설 정보(2015),0
창업보육 센터 현황(2014),0
2015년 경기도 천연가스 자동차보급 집계 현황,0
관광농원 지정 현황(2015),0
농업인 양성현황(2014),0
토양전문기관 및 토양정화업체 현황(2015),0
관광지 관광객 통계(현황)(2014),0
물가정보 현황(2015),0
평생교육 대학운영 현황(2015),0
자동차 관련업 현황(2015),0
"후원방문 판매업,다단계 판매업,선불식 할부",0
경기도 장례관련정보(2015),0
지역농산물 판매현황(2015),0
농지면적 및 농업진흥 지역면적 현황(2014),0
경기도 외국인 거주현황(2015),0
다문화 가족지원센터 현황(2015),0
경기도 축산관련시설 정보(2015),0
2015년 가축 전염병 발생 현황,0
2015년 경기도 일반 협동조합 현황,0
대기측정 대행업체 현황(2015),0
수목원 현황(2015),0
경기도 산사태 발생 및 방지 현황(2013),0
보호수지정 현황(2015),0
공연예술단체 현황(2015),0
버스전용차로 현황(2014),0
중금속 측정 결과 현황(2014),0
보육교사 교육원 현황(2015),0
공장등록 현황(2015),0
상수도 보급 집계 현황(2015),0
하수 처리시설 수질 검사결과 현황(2015),0
경기도 수질검사 현황(2014),0
경기도 취정수 현황(2015),0
상수원 보호구역 현황(2015),0
소하천 수질 오염도 현황(2015),0
수질 자동측정소 현황(2015),0
경기도 상하수도 요금정보(2015),0
낚시터 현황(2015),0
비점오염 저감시설 현황(2015),0
음식 문화개선 특화 거리지정 현황(2015),0
경기도 아동 복지시설 현황(2015),0
경기도 여성복지지원 정보(2015),0
음식물 폐기물 처리시설 현황(2015),0
생활 폐기물 처리시설 집계 (2015),0
경기도 청소년 지원시설(2015),0
아이돌봄 서비스 제공기관 현황(2015),0
경기도 영화상영관 현황,0
재활용센터 현황(2015),0
온천 현황(2015),0
재해피해 및 복구집계 현황(2015),0
주민 대피시설 현황(2015),0
물류단지 시설정보 현황(2015),0
공공체육시설 현황(테니스),0
공공체육시설 현황(축구),0
친환경 인증 집계 현황(2014),0
하천 현황(2015),0
경기도 수질 오염 배출 현황(2015),0
공공폐수 처리시설 현황(2014),0
생태 우수마을지정 현황(2015),0
경기도 동물 보호 및 치료기관 현황(2015),0
진단용 방사선 발생장치 현황(2015),0
공유재산 현황(2015),0
집단급식소 현황(2015),0
경기도 출판사 및 인쇄사 현황(2015),0
의료기기 판매(임대)업체 현황(2015),0
경기도 의료 유사업 현황(2015),0
경기도 공중위생업(2014),0
2015년 요양 보호사 교육기관 현황,0
소독업체 현황(2015),0
경로당 현황(2015),0
경기도 숙박업 현황(2015),0
문화재 수리업체 현황(2015),0
문화예술법인 현황(2014),0
관광극장 유흥업체 현황(2014),0
민박펜션업소 현황(2015),0
관광 숙박업체 현황(2015),0
지방문화원 현황(1999),0
경기도 여행업 현황(2015),0
지하수 시공업체 현황(2015),0
경기도 생활폐기물 처리 정보(2015),0
공중화장실 현황(2015),0
특수여객업체 현황(2015),0
저수조 청소업관리 현황(2015),0
경기도 화물운송업 정보(2015),0
분뇨수집 운반업체 현황(2015),0
배출시설 설치사업장 현황(2015),0
공중이용시설 현황(복합건축물),0
수원시 공공시설개방 정보 서비스,0
노동조합 현황(2015),0
경기도 민방위 시설 현황(2015),0
거제시 문화축제,47
환경소음 정보,22
고속도로 출입시설 위치정보,13
AVC 설치정보 조회 서비스,22
VDS 설치정보 조회 서비스,25
총 통행속도(TCS기준),17
차로별 차종 구성 및 위반율,18
시간대별 교통량 현황,13
중앙분리대 개구부,13
우회도로,13
설해취약구간,13
내진미반영교량,14
비상연결로,7
재난교통사고 속보,7
긴급구조기관,8
1종시설물-교량,14
소상공인 상가업소 정보 서비스,0
국가별 여행경보 히스토리 목록조회,33
공공자전거 어울링 정보,81
국가별 공지사항 목록조회,33
울산광역시 무료와이파이 현황,44
울산광역시 공중화장실 현황,28
약용식물서비스,20
자전거보관소 정보 서비스,25
중개업소 정보 서비스,19
가로등 정보 서비스,17
보안등 정보 서비스,44
교통카드충전소 운영현황,20
민방위 급수 시설 정보 서비스,26
민방위 대피시설 정보 서비스,30
분리수거함 설치 정보 서비스,21
무연탄 판매 가격표,13
농업기계 성적서,18
신구표준코드매핑정보,15
농수축산물 표준코드 매핑 정보 서비스,92
농수축산물 도매시장 상세 경락가격 서비스,0
산지위판장 경락가격정보 서비스,29
농수축산물 품목별 상세조사가격 서비스,0
산지공판장 경락가격정보 서비스,0
표준코드조사가격 매핑 정보 서비스,0
전국공공체육시설정보서비스,39
표준코드국제코드 매핑 정보 서비스,50
GPC품목매핑목록조회,0
사회참여 자원조회,0
교육정보 목록 검색,0
국가표준곤충목록 서비스,91
기증자료 서비스,30
수협 산지조합 위판장 정보,0
위판장별 위탁판매 현황,0
일자별 위탁판매 현황,0
수협 산지조합 위판장 현황,15
수협 산지조합 정보,0
위판장별 어종별 위탁판매 집계,0
수협 산지조합 창고 정보,13
수협 산지조합 창고별 매출처 정보,0
수협 산지조합 창고 품목별 재고 현황,0
수협 산지조합 창고 품목별 입출고 현황,0
수협 물류센터/공판장 품목별 입출고 현황,0
수협 물류센터/공판장 품목별 재고 현황,15
수산물 품목별 수출입 현황,0
수산물 HSK품목별 수출입 현황,0
국가별 수산물 수출입 순위 정보,0
국가별 수산물 수출입 현황,0
수산물 수출입품목분류코드,0
울산광역시 전기차충전소 API,34
울산광역시 휴양림 API,42
울산광역시 관광안내소 현황,73
울산광역시 농어촌체험마을 API,44
자재 소비현황,29
울산의 명산 현황,48
울산광역시 영남알프스 등산 정보,46
울산광역시 민박펜션,55
울산광역시 게스트하우스/한옥스테이 정보,54
울산광역시 호텔 정보,54
울산광역시 굿스테이 API,42
해양생태도 정보제공 서비스,5
해양생태계 종합조사(연안생태분야) 정보제,78
해양생태계 종합조사(갯벌생태분야) 정보제,72
갯벌 정보제공 서비스,0
해양생물 서식 정보제공 서비스,8
해양 관광 정보제공 서비스,14
사망원인별 화장현황 조회 서비스,13
연령별 화장현황 조회 서비스,12
지역별 화장현황 조회 서비스,13
의사일정 정보제공 서비스,0
대지권등록정보조회서비스,123
토지등급정보조회서비스,0
지적도근점정보조회서비스,9
법정구역정보조회서비스,9
토지임야정보조회서비스,0
지적삼각점정보조회서비스,0
지적삼각보조점정보조회서비스,9
공유지연명정보조회서비스,11
연속지적도형정보조회서비스,9
부동산정보WFS서비스,258
토지이용계획정보서비스,0
도서정보서비스,0
토지소유정보서비스,0
용도지역지구정보조회서비스,126
국회의원 정보제공 서비스,0
음양력 정보제공 서비스,144
출몰시각 정보제공 서비스,0
월령 정보제공 서비스,0
특일 정보제공 서비스,8
천문현상 정보제공 서비스,0
태양고도 정보제공 서비스,36
주민자치프로그램,36
후원방문사업자 정보제공 서비스,73
레이더정보,48
낙뢰정보,26
건축물유지점검정보 서비스,195
부산항 국제여객터미널 운항정보 서비스,0
한우씨수소정보,0
난방지수정보 조회서비스,38
젖소유전능력평가결과,0
품목별 유전자원 정보,0
경찰서 정보,18
관리사무소 정보,17
우체국 정보,16
세종특별자치시 채용정보,20
세종특별자치시 기상정보,51
전국 도시공원표준데이터,18
전국 어린이보호구역표준데이터,12
전국 공중화장실표준데이터,26
전국 무인민원발급표준데이터,17
전국 전통시장표준데이터,21
전국 사회적기업표준데이터,16
전국 주차장표준데이터,46
무장애 여행 정보 서비스,0
광주 도시철도 역사 위치 및 면적 정보,3
공동주택 수의계약 공지 정보제공 서비스,25
공동주택 입찰공고 정보제공 서비스,101
공동주택 입찰결과공지 정보제공 서비스,102
공동주택 에너지 사용 정보제공 서비스,12
공동주택하자담보책임기간정보제공서비스,11
공동주택 유지관리 이력 정보제공 서비스,30
회계감사보고서 정보제공 서비스,3
전기자동차 공공충전소 현황,13
착한가격업소 현황,34
세종시 약국 목록 정보,17
(2015년) 병사 개인피복 지급 기준 정보,0
(2015년) 학군단 연락처,0
(2015년 이전) 병사 봉급 정보,0
(2015) UN군 참전 및 피해 현황 정보,0
(2015) 군 계급코드,0
(2015) 군급분류 코드,0
(2015) 매각 대상 군 토지 정보,0
(2015) 장병 체력 검정 기준,0
PX 인기상품 정보,0
(2015)군 복지시설 주변 관광지 정보,0
(2016)병사 할인 혜택 정보,0
(2015)여행장병 안내소 연락처,0
(분기별) 군 감염병 현황 정보,0
병영표준 식단(3군수지원사령부),0
전국 cctv표준데이터,17
전국문화축제표준데이터,23
전국민박/펜션업소표준데이터,0
전국공연행사표준데이터,31
전국무료급식소표준데이터,0
전국어린이집표준데이터,23
전국 도서관표준데이터,32
전국평생학습강좌표준데이터,32
전국 휴양림표준데이터,19
전국 관광안내소표준데이터,28
전국농어촌체험마을표준데이터,21
전국상수도수질검사표준데이터,0
전국전기차충전소표준데이터,0
전국 무료와이파이표준데이터,0
전국공공시설개방표준데이터,58
광양항 풍향 풍속 정보,0
제주 가맹점주 월별 소비패턴 정보 서비스,19
제주 공공와이파이 설치 정보 서비스,19
제주 공공와이파이 이동경로 정보 서비스,19
제주 비콘 설치 정보 조회 서비스,30
제주 월별 입도객 정보 서비스,18
제주 공공와이파이 일별 방문패턴 정보,15
제주 사용자 월별 카드 소비패턴 정보 서비스,19
전국금연구역표준데이터,16
전국세차장표준데이터,22
전국보호수표준데이터,24
전국무더위쉼터표준데이터,24
전국재해위험지구표준데이터,0
전국도시철도노선정보표준데이터,0
전국도시철도역사정보표준데이터,0
전국도시철도운행정보표준데이터,0
대한무역투자진흥공사 산업단지 조회,0
국가정책연구포털 연구정보,0
농촌마을별 자원 및 조직정보,8
행복마을만들기 선정마을정보,0
행복마을만들기 콘테스트 실적,0
농촌마을별 기본정보,0
농촌마을별 인원정보,0
농촌마을 기본현황 정보,0
국제 및 연안 여객터미널실시간운항정보,38
토양검정 화학성 분석 자료 서비스,0
공연행사 정보 서비스,34
대구 의료관광 선도의료기관,0
영화상영관 현황,0
거제시 버스정보,68
승객 예고 - 출입국별(국문),13
출국장 현황 정보 서비스,13
대한민국 공공서비스,0
제주별빛누리공원 교육정보,0
제주시 건축물분양 정보,23
실내정원용 식물 목록 및 상세 정보,0
표준 사료 검색 서비스,0
분야별 세출현황,0
세입현황,0
세부사업별 세출현황,0
기금결산,0
기금현재액,0
지역통합자산현황,0
지역통합부채현황,0
창녕군 날씨정보,0
창녕군 교육정보,0
창녕군 행사정보,0
이천시 물가동향자료,0
기업현황자료,0
이천시 착한가격업소,0
이천시 음식업소 자료,0
이천시 숙박자료 제공,0
대구시청 유관기관 채용정보,0
한국산업기술평가관리원 지역행복생활권,0
한국산업기술평가관리원 지역발전유관기관,0
한국마이스터대학현황,0
농촌 빈집 정보,0
농수축산물 통합유통 정보제공 서비스,259
농수축산물 통합유통통계 정보제공 서비스,837
식품산업 채용정보,8
100세누리 구인정보,47
노인 재능나눔활동 모집공고 정보 서비스,34
노인 재능나눔활동 코드정보서비스,25
노인 재능나눔활동 모집공고 수행기관 정보,39
월간 농작물 병해충발생정보 서비스,0
작물 병해충 검색 서비스,0
식단별 식단구성 및 조리법 정보 서비스,0
식물목록별 참고문헌 정보서비스,0
올림픽공원 공연 대관정보,0
수원시 보호수 서비스,0
수원시 세차장 서비스,0
수원시 재해위험지구 서비스,0
수원시 무더위쉼터 서비스,0
데이터스토어 상품API,0
향교건축,0
문화재 참고문헌,0
대한제국 황릉정보,0
괘불 현황,0
금석문 정보,0
석조문화재 3D 컨텐츠 정보,0
문화유산연구 원문정보,0
발굴연표 정보,0
고고학사전 정보,0
문화유적총람 정보,0
중앙아시아 유적정보,0
한국전통문양 정보,0
고문헌 정보,0
문화재수리 현황,0
"문화재 보존,복원 정보",0
석조문화재보존관리 정보,0
교류현황 정보,0
R&D 보고서 정보,0
조선고적도보 정보,0
조선고적조사보고 정보,0
일제강점기(문헌목록) 정보,0
북한지역 고구려 벽화고분 정보,0
개성의 문화유적 정보,0
북한의문화재 정보,0
문화재지,0
보존과학연구 학술정보,0
연보,0
서울시 지하철 운행계획 정보,0
서울시 지하철 첫차 및 막차 정보,0
서울시 지하철 최단경로 정보,0
서울시 지하철 주변 버스정류장 정보,0
서울시 좌표기반 근접 지하철역 정보,0
서울시 지하철 역사 정보,0
서울시 지하철 역간 구간 정보,0
서울시 지하철 호선 정보,0
서울시 지하철 실시간 도착정보,0
서울시 지하철 호선별 역사경유 정보,0
서울시 지하철 실시간 열차 위치정보,0
서울시 지하철 환승 정보,0
서울시 지하철 출입구 정보,0
서울시 지하철 주변 환승버스 정보,0
서울시 지하철 WIFI 위치정보,0
보호수 정보 현황,32
금연구역,0
세차장,0
보호수,0
무더위쉼터,0
한국관광공사 생태관광정보 서비스,0
성동구도시관리공단 채용정보 목록조회,0
대전광역시 유기동물공고현황 조회 서비스,49
성동구도시관리공단 공영주차장정보 OPEN-API,0
서울시 골목상권 정보(상권-추정유동인구),0
서울시 골목상권 정보(상권배후지-추정매출),0
서울시 골목상권 정보(상권배후지-직장인구),0
서울시 골목상권 정보(상권-점포),0
서울시 골목상권 정보(상권-상주인구),0
서울시 골목상권 정보(상권배후지-집객시설),0
서울시 골목상권 정보(상권배후지-점포),0
서울시 골목상권 정보(상권-집객시설),0
서울시 골목상권 정보(상권배후지-유동인구),0
서울시 골목상권 정보(상권배후지-소득소비),0
서울시 골목상권 정보(상권-추정매출),0
서울시 골목상권 정보(상권-직장인구),0
서울시 골목상권 정보(상권-아파트),0
서울시 골목상권 정보(상권배후지-상주인구),0
서울시 골목상권 정보(상권배후지-아파트),0
서울시 골목상권 정보(상권-소득소비),0
서울시 일자리플러스센터 채용 정보,0
맞춤형특기병 모집 선발인원 조회,17
근로자건강센터현황,0
터널시설물 현황조회,6
교량시설물 현황조회,6
수원시 맛집현황 서비스,0
전국자전거보관소표준데이터,0
전국자전거대여소표준데이터,19
전국보안등정보표준데이터,0
전국길관광정보표준데이터,0
전국지역특화거리표준데이터,16
전국박물관미술관정보표준데이터,28
전국지정약수터표준데이터,0
전국농기계임대정보표준데이터,22
전국마을기업표준데이터,24
소비자정보망 스마트컨슈머,0
사회복무요원 제복사이즈 조회,14
서귀포시 금연구역,0
수원시 마을기업 서비스,32
수원시 지역특화거리 서비스,24
수원시 길관광정보 서비스,28
경상남도 의령군 여성복지시설 API,0
경상남도 의령군 노인복지시설 API,0
경상남도 의령군 장애인복지시설 API,0
경상남도 의령군 체육시설 API,0
경상남도 의령군 의료기관 API,0
경상남도 의령군 운송/정비사업체 API,16
경상남도 의령군 주유소/LPG충전소 API,0
국가별 석탄관련 기관(API),0
국가별 연탄용 무연탄 수입현황(API),0
석탄 용어사전(API),0
세계 메이저 석탄광산(API),0
게시판 스팸 실시간 차단 서비스(LINK),0
